text,favorite_count,retweet_count,id,score
fitdistr fits a univariate probability distribution to a vector of data using maximum likelihood estimation:,35,14,571,167
Find the maximum amount of memory available to R (in Mb) with memory.limit(),56,24,570,104
Interactively execute R functions on a remote Microsoft R Server with remoteLogin(),21,3,569,27
Use lengths(x) to find the length of every element in a list   via @kearneymw,44,12,568,68
"In R, NA represents missing values. To check for NAs, use the is.na function, not the == operator",56,15,567,203
For some really good  reading have a look at the Journal of Statistical Software,34,15,566,106
R has nine different algorithms for computing quantiles,51,21,565,93
"R automatically prints most expressions evaluated at the command line, as explained by @xieyihui",16,8,564,32
Use missing(x) to test whether an argument x was supplied when a function was invoked:,24,10,563,63
daisy(df) computes all pairwise dissimilarities between observations in a data frame,40,14,562,68
"On Windows, you can substitute forward slashes for backslashes in filenames (for convenience or portability)",16,4,561,47
"Parallel group-by operations on clusters, SQL Server or Spark with rExecBy in Microsoft R Server",20,3,560,26
It's usually best *not* to save and reload your R workspace. Unexpected objects in the environment can be a source of bugs,107,48,559,203
List of R functions and packages for Time Series Analysis,84,30,558,358
Find the list of changes in the forthcoming release of R (R-devel) here:,14,7,557,63
Many zeroes in your data? Fit a Tweedie GLM with tweedie() function in the statmod package,38,17,556,72
"Capture errors, warning and functions by wrapping the call in safely( ) from the purrr package",45,22,554,89
Create Tufte-inspired graphics in R,55,16,553,87
See help(par) for many options for controlling the appearance of base graphics in R,17,8,552,33
"List row/col matrix indices, from largest value to smallest: cbind(row(x)[order(-x)],col(x)[order(-x)])",22,9,551,40
Use the AzureDSVM package to spin up and use Data Science VM clusters from R,13,7,550,27
Find R-ladies meetups in your area. Visit  and follow @RLadiesGlobal,20,15,549,50
"file.path is a fast, platform-independent function to create paths to filenames",35,15,548,126
"X %in% Y tests whether elements of X can be found in Y -- same as !is.na(match(X,Y))",95,32,547,159
"Add ""user:cran"" to a search query on Github to search the code of all R packages on CRAN",44,15,546,74
"Package developers: add
ByteCompile:yes
to the DESCRIPTION file to have your package compiled on install",16,4,545,24
Use hclust() for hierarchical clustering,32,19,544,70
"NA's have special handling for logical comparisons. NA & FALSE is always FALSE, NA | TRUE is TRUE",28,9,543,107
You can use a two-column matrix of integers to select disjoint values in a matrix by row/column,13,5,542,23
The checkpoint function automatically finds and installs all packages required by the current project,58,22,541,102
Add options(error=utils::recover) to .Rprofile to make it easier to debug errors thrown by R functions:,38,7,539,120
.libPaths() will show the directories where R looks for packages,34,16,538,66
"The useR! conference @UseR_Brussels takes place next week. Watch presentations from last year, here:",27,5,537,37
"With the expm package, M %^% n is an efficient function for raising a matrix to a power",28,6,536,40
Get started with Bayesian Survival Analysis with the bayesSurv package,36,10,535,106
Some common pitfalls when working with floating-point numbers in :,25,12,534,105
x[duplicated(x)] lists the repeated values in a vector x,55,18,533,91
The doAzureParallel package  uses low-priority VMs for cost-efficient large-scale parallel computations,19,6,532,31
Course notes for data journalists by @paldhous: Introduction to Data Visualization,38,20,531,78
"Convert a comma-separated string to a vector: strsplit(""red,green,blue"","","")[[1]]",54,13,530,176
"With base graphics, par(mfrow=c(2,2)) will let you put 4 plots on the same device",20,10,529,40
cumprod(x) returns a vector containing the cumulative products of the vector x,18,5,528,28
Use the rxNeuralNet function in Microsoft R to train deep neural networks with GPU acceleration,40,14,527,68
"The ""margins"" package calculates partial effects for covariates in models (like Stata does)",38,13,526,64
"New to R? Try the ""sample session"" in the Introduction to R Manual for a 10-min tour:",47,22,525,225
"read.table(""clipboard"") can be a timesaver for quick copy-and-paste from spreadsheets into R",142,54,524,601
Use biplot() to visualize principal components: biplot(princomp(USArrests)),40,16,523,72
Getting started with RevoScaleR: package of big-data functions in Microsoft R Client & Server,10,4,522,51
Use the testthat package to create a testing framework for R packages:,24,13,521,89
You may find strptime() and strftime() useful for inputting and formatting dates,34,8,520,74
"The r-help mailing list has beein going since April 1, 1997. Many thanks to all who have contributed!",16,4,519,24
Publish R functions as SQL Server stored procedures with the sqlrutils package in Microsoft R:,39,8,518,55
"A guide to collaborating with (and getting help from) other R users online, by @noamross",38,23,517,84
"To debug warnings, options(warn=2) converts warnings into errors",32,11,516,97
"Syntax trap: The ':' operator has higher precedence than '-' so 0:N-1 evaluates to (0:N)-1, not 0:(N-1) like you probably wanted",65,40,515,285
One way to do a one-way analysis of variance: anova(lm(y ~ x)) where x is a factor,45,15,514,75
Offload parallel processing jobs on partitioned data to remote clusters with rxExecBy in Microsoft R:,14,0,513,14
Get notifications of new and updated R packages with @CRANberriesFeed,17,12,512,41
simulate(obj) in {stats} will simulate one or more responses from the distribution of a fitted model object,44,17,511,127
"Convert a numeric vector to a factor with ""cut"", e.g. cut(rnorm(100),3,c(""Low"",""Med"",""High""))",79,31,510,290
Generate a data frame with detailed info on every package on CRAN: tools::CRAN_package_db(),28,11,509,50
How to access data in Azure Blob Storage or Data Lake from R  on HDInsight,11,3,508,17
Find an R conference or user group near you at,23,11,507,45
"To include a quote character in a string, use \""""
Use \\ for a single backslash",24,7,506,38
rpart is an R function for CART-like classification and regression trees,16,6,505,28
"Technical Foundations of Informatics: A modern introduction to R, by @mf_viz and @joelwross",39,12,504,63
Tips and tricks for optimizing R applications deployed in SQL Server,23,8,503,39
"To calculate the inverse of a square numeric matrix, use solve(X):",23,11,502,83
"R functions and packages for differential equations: ODEs, SDEs, PDEs etc:",39,9,501,112
Use NROW/NCOL instead of nrow/ncol to treat vectors as 1-column matrices,31,13,500,110
The lubridate package simplifies operations on dates and times:,71,27,499,210
The Plotly R library provides a way to plot and share interactive graphics on the web using ggplot2 syntax,89,43,498,175
Use arima.sim() to simulate time series under an ARIMA model,25,11,497,47
Use the gridExtra package to lay out multiple ggplot2 charts on a single page,87,43,496,173
Use the gbm package to fit generalized boosted regression models,34,13,495,60
R For Dummies helps with regular expressions,50,21,494,197
Resources for getting started with Microsoft R Server,10,9,493,28
Find interactive charts you can create with R at the htmlwidgets gallery,56,20,492,96
"For base graphics, par(mfrow=c(m,n)) will divide a graphics window into a grid of m x n plots",32,20,491,95
"cor.test(x,y) will test if the correlation between paired values in x and y is statistically significant",49,12,490,73
"Yes, you can return more than one value from a function: use a list! return(list(val1, val2, val3))",73,32,489,218
A two-page handout with info on the Azure Data Science Virtual Machine (includes ),21,3,488,27
Find extensions for the ggplot2 graphics system at,65,37,487,139
Use the odbc package to download data from ODBC-compliant databases into R,29,13,486,55
"kruskal.test(list(x,y)) performs the  Kruskal-Wallis Rank Sum Test to compare the distributions of x and y   #stats",46,20,485,86
Try out the %>% operator in the magrittr package  to avoid nested function calls,28,15,484,79
Use dput to archive an R object to a file; load into another R session with dget,32,9,483,97
"For int'l number formats: parse_number(""123.456,789"", locale=locale(grouping_mark=""."", decimal_mark="",""))",19,7,482,33
Qualification and validation of R for 21CFR11 compliance and use in FDA clinical trials:,5,2,481,37
Use train() in the caret package to evaluate models over a grid of tuning parameters,30,17,479,64
"How to install and enable R Services for SQL Server 2016, by @nielsberglund",24,7,478,38
Find the geographic location of an IP address with the rgeolocate package,59,26,477,111
"If you have an active trans-temporal internet connection, you can use ???? for extra help, e.g. ????t.test  #easteregg",23,8,475,46
List of R debugging tips:,42,20,474,220
"uniroot(fun,c(a,b)) will find where fun(x) equals zero in the interval [a,b]",30,10,473,50
Negative indexes remove elements from a vector. x[-1] is x without the first element,35,14,472,129
Some handy tricks for handling columns in data frames with dplyr:,78,37,471,152
Type ?Syntax to learn the precedence of operators in the R language:,27,13,470,110
acf() computes the autocovariance or autocorrelation of a vector or time series,26,12,469,50
as.hexmode(N) will convert integers into hexadecimal format,17,6,468,29
Convert a scalar function to one thar operates on vectors with Vectorize,25,9,467,43
Style guide for R programming by Graham Williams,60,23,466,206
Use object.size() to estimate the amount of memory an R object is consuming,54,19,360,315
Use object.size() to estimate the amount of memory an R object is consuming,54,19,465,315
"Perform a likelihood ratio test for nested GLM models with lrtest(m1,m2)",41,17,464,75
"The AzureSMR package provides R functions to control various Azure services, like VMs, blobs, and clusers",18,8,463,34
basename(path) removes all of the file path up to and including the last (Windows or Unix) path separator,22,10,462,42
"Trigonometric functions in R use radians. For example, cos(355) prints as -1 (and this is why:",20,8,461,36
Try the rattle package for a GUI based introduction to machine learning using R,77,34,460,214
"The operator <<- does global assignment. If you think you need <<-, think again. -- P Burns, The R Inferno",27,12,459,51
"Find dates of many public holidays with the timeDate package: holiday(Holiday=""JPNationalCultureDay"")",32,8,458,48
svd(X) will compute the singular value decomposition of a matrix,16,8,457,32
Version control for R projects: Guide to using Git and Github with RStudio by @jennybc,102,52,456,206
R.version.string is character string describing the version of R you are running,17,10,455,37
"Reverse the elements of  a vector x with rev(x) -- works on lists, too",33,9,454,51
"Robust regression in R (PDF, Fox & Weisberg):",30,11,453,160
Publish R functions as web services with mrsdeploy in Microsoft R Server:,29,14,452,57
An index to CRAN Task Views with some visual puns by @geospacedman,13,4,451,21
Generate a LaTeX or HTML table from an R object with xtable,64,25,450,114
Create a file called .Rprofile of commands to run each time R starts. Good for setting options etc. Example:,89,29,449,376
Not sure where to add text or other annotations to your  chart? Use 'locator' to pinpoint with the mouse:,46,20,448,169
Compare the distribution of two samples with the Kolmogorov-Smirnov Test: ks.test(),49,19,447,87
Ways to find which namespace a function comes from,13,6,446,25
Type ?regex in the console to get the R manual on regular expressions,44,17,445,107
List of predictive model types supported by the caret package:,52,27,444,106
"A basic ""working vocabulary"" for R (by @hadleywickham)",99,37,443,173
Use colSums to quickly calculate totals from the columns of a large matrix or table:,22,8,442,73
Jenny's constant in R: (7^(exp(1)-1/exp(1))-9)*pi^2  (via @xkcd  ) Happy V Day!,16,10,441,56
"By default, sample(x) randomly permutes x. With the option replace=TRUE it samples with replacement.",18,8,440,68
Try hclust() in the stats package for hierarchical clustering,33,14,439,98
Write a book in the style of @edwardtufte with the tint package:,38,17,438,72
List of R packages for survey design and official statistics:,66,38,437,217
Make R pause for 3 seconds during a script or function: Sys.sleep(3),36,9,436,54
Hunt for an object in all loaded namespaces with getAnywhere(object),16,7,435,57
confint() in the MASS package will compute confidence intervals for glm models,72,29,434,179
Use R Tools for Visual Studio @RT4VS to write R code as a SQL Server 2016 stored procedure,19,8,433,67
The mice package can be used to impute missing values in a data set,71,26,432,123
"To include a quote character in a string, use \""
for a single backslash, use \\",15,4,431,23
A list of data sets you can use with R:,102,40,426,182
A list of data sets you can use with R:,102,40,430,182
How to import 100 years of Eurpoean climate change data into R:,106,69,428,244
rnoaa: @ROpenSci package to access many NOAA data sources including the NCDC climate API,31,23,427,77
Visualize a 3-D surface with the persp function,22,11,424,93
"Return the row/column indices of positive elements of matrix x: which(x>0, arr.ind=TRUE)",27,11,423,85
which.min(x) and which.max(x) return the first index of the min and max of x,29,14,422,84
How to optimize parallel algorithms using rExec in Microsoft R Server,15,12,421,39
"Use the circlize package to create chord diagrams, phylogenetic trees and other circular charts",35,18,420,71
"Perform a keyword search for help at the  console:
??keyword",8,5,419,18
Tutorial introduction to time series in  (4th edition):,67,26,418,119
Install an R package directly from GitHub with devtools package:,23,11,417,141
"Use the magrittr pkg %$% operator to extract and process a column from a data frame:
mtcars %$% mean(mpg)
 via @drob",85,34,416,153
List of R functions and packages to support reproducible research,64,43,415,238
Launch R as a clean session with no extension packages or saved objects: R --vanilla,27,14,414,55
An R tutorial in 25 functions (including some Microsoft R packages):,72,25,413,122
Two-minute video tutorials for R beginners,61,28,412,170
"Use help.search to find documentation, vignettes and demos on a specific topic, e.g. help.search(""time series"")",50,21,411,92
"An R ""Happy New Year"" greeting from Yihui Xie",10,4,410,55
"Some fun, non-work things you can do you do with R",66,32,409,130
Free R online R course starting January 1: Introduction to R,95,61,408,217
"In scripts, wrap code in local({ }) to prevent temporary variables overwriting global data:",45,13,407,148
Find many examples of R charts (with code) at the R Graph Gallery,203,96,406,395
"A holiday wreath, created with R by @EEB_Flow",22,13,405,48
Not sure why your R function threw an error? Use traceback() to find out where it occurred,87,28,404,263
"List of R packages related to networks, graphs, Bayesian models, and flow diagrams:",63,33,402,308
which(x > 0) returns the locations of positive elements in numeric vector x,28,9,401,93
"Use rpois(n,lambda) to generate n random draws from a Poisson distribution with rate lambda",22,6,400,58
Cheat sheet for machine learning functions in Microsoft R's MicrosoftML package,51,22,399,95
How to create charts in the style of @edwardtufte with R:,157,50,398,257
"The most useful R tricks, according to StackOverflow",131,59,397,249
"Use combn(1:n,m) to find all combinations of the first n numbers taken m at a time",41,14,396,100
"The ""tabular"" function generates crosstabs with summary stats a la SAS PROC TABULATE",29,5,395,39
"See demo(plotmath) for examples of mathematics (exponents, greek symbols etc) in  plots",23,12,394,96
"Calendar heat maps, stream graphs, and other ggplot2 extensions for time series",87,32,393,151
%% is the integer modulus function. 12 %% 5 returns 2,20,4,392,28
Search the web for information specific to R,23,7,391,37
Explore the capabilities of your installed R packages with browseVignettes(),37,12,390,135
How to write a book with R and the bookdown package,59,26,389,111
"signif(x,digits=n) rounds x to n significant digits",23,10,387,67
"To search for R-related FAQs on StackOverflow, precede your search query with [r] at",31,14,386,142
"x$name and x[[""name""]] are equivalent, but the latter is a more robust programming style ($ uses partial matching)",107,51,385,228
"Introduction to the caret package: select, train and optimize predictive models:",67,35,384,137
E-book on using R with SQL Server 2016,46,26,383,98
"Important distinction between [, [[ and $
[ can select > 1 element but [[ and $ select a single element",70,29,382,128
"For precise formatting of numbers (e.g. consistent decimal places for tables), use formatC:",37,14,381,130
Tutorial: converting SAS routines to R,16,6,379,28
Archive of all the R questions asked on StackOverflow (thanks to @drob),29,15,378,59
Create a Halloween card with :,20,10,377,81
"polygon(x,y) will draw a polygon whose vertices are given by the vectors x and y",27,11,376,49
"Simple source code beautifier for HTML blog posts etc. Choose ""S"" for  code",12,4,375,20
Browse the archive of R tips at,22,7,374,36
"choose(n, r) returns the binomial coefficient; lchoose(n, r), the logarithm of the binomial coefficient",21,6,373,33
List of R functions and packages for text analysis and natural language processing:,85,47,371,179
Move data between R and Excel via the Windows clipboard:,48,21,370,90
"To speed up an R function, use cmpfun to byte-compile it:",51,35,369,121
Convert addresses to latitude/longitude and plot them on a map with the ggmap package,95,42,368,179
You can include mathematical equations in R charts. Cheat sheet of math symbols you can use:,83,31,367,145
"Use \n to embed a newline within a string, e.g. cat(""Line 1\nLine 2"")",16,10,366,71
"pmin(x,y) and pmax(z,w) return the elementwise smallest/largest values of their arguments",23,5,365,33
"The Data Science Virtual Machine includes R, Python, Rattle and other data science tools",46,26,364,98
How to create an animated map of pirate attacks with R   #arrrr,47,21,363,89
Reverse Polish notation calculator in 12 lines of R code   via @BrodieGaslam,15,11,362,37
"Constants built into : letters, months and pi:",6,2,361,38
"How to credit R in a manuscript or article: citation(). Works for packages, too: citation(""MASS"")",43,31,359,209
"Collected wisdom from the R mailing list archives, via the fortunes package",15,12,358,39
"The ""file"" argument to data import functions like read.table can be a URL, to read data from a website",29,12,357,53
locpoly(x) {KernSmooth} estimates a probability distribution function from observed data,36,10,356,56
"The standard random number generator in R is the Mersenne Twister, but other RNGs are available:",18,11,355,72
Tips on managing memory in R:  (via @erwtokritos),43,13,354,161
Topic coding and text classification for unstructured data: the RTextTools package,32,15,353,142
Consider the mvtnorm package for calculating multivariate normal and t distribution probabilities.,17,11,576,39
Use names(x) <- c to set the names of the elements of vector x to the values of the character vector c,23,7,352,56
Type help(regex) to get started with regular expressions,18,9,351,71
Use ellipse() in the mixtools package to draw a 95% confidence ellipse for a bivariate normal distribution,32,12,350,56
See the vignette (  ) of the sparseM package for an introduction to sparse matrices in R,15,6,349,43
The TSA package has a nice collection of data sets for getting started with ARIMA models,26,14,348,72
bkde2D {KernSmooth} computes a binned kernel density estimate from samples of a 2 dim distribution,6,5,347,16
Access or set the attributes of an R object with attributes(),12,3,346,24
list.dirs() {base} will list the subdirectories in your working directory,15,4,345,23
"Merge two data frames with merge(df1, df2) for an inner join and merge(df1,df2,all=TRUE) for an outer join.",45,18,344,162
Use the tm package for basix text mining.,33,18,343,69
use aperm() {base} to transpose an array by permuting its dimensions,8,5,342,31
gregexpr() {base} finds all instances of a pattern,20,13,341,62
Use lines() {graphics} to add connected line segments to base R plots,10,7,340,35
Look at package infotheo to compute entropy measures from information theory,14,9,339,58
"List all tests in R: apropos(""\\.test$"")",25,6,662,37
Column of numbers read in as a factor? Convert it with as.numeric(as.character(df$num.col)),30,11,338,52
Use rpart:::summary.rpart to look at the code in the hidden method summary.rpart (from Ecostudies),35,16,337,74
An example of using R to confirm results of a JAMA paper from Kelly Black,23,11,336,62
"Barplot of counts: ggplot(df, aes(x, counts, fill= factorVar)) + geom_bar(stat=""identity"", position=""dodge"")",33,25,335,97
Use as.dendrogram() to prepare hierarchical clusters or trees for plotting,27,6,1,75
Guide to density esttimation in R from Deng and Wickham,34,14,847,62
logspline() {logspline} fits a density using splines to approximate the log-density,14,12,334,38
"Cumulative multiplication: x <- 1:5; Reduce(""*"",x) Reduce{base] can do much more.",26,8,333,42
"Find your R home directory from the command line with Sys.getenv(""R_Home"")",33,8,332,108
When to use: apply vs lappy vs sapply vs mapply ...   (via @ThomasEvans),106,51,331,395
Looking for health data? Try WHO package  for World Health Organization data,50,25,330,100
"New to R? install.packages(""Rtutor""); library(RtutoR); launch_tutorial() for a basic R tutorial",73,45,329,163
"dir.create(""dir_name"") will create a directory in your working directory",38,15,328,68
Use stack() to stack the columns of a data frame into a single column,52,23,326,156
Details of how method dispatch works for objects in R:,13,3,325,38
Use read.csv2 to import ASCII data from countries that use the comma as a decimal point,33,31,324,160
Function to find the peaks in a time series:   (via @therealprotonk),51,11,323,160
Start planning for Easter next year: library(timeDate); Easter(2017),16,3,322,22
Search the documentation for any function in base R or any CRAN package at,16,9,321,56
cv.glm() {boot} will calculate cross validation prediction error for glm models  #rstata,27,11,320,49
Use readOGR() (gets the projection) rather than readShapeSpatial() (that doesn't) to open .shp shapefiles,21,11,319,43
"Use rep(x,n_times) {base} to replicate elements of vectors and lists",5,9,318,23
You may find debug(fun) {base} helpful in debugging an R function.,12,11,317,34
sessionInfo()$otherPkgs will print the details of non base R packages attached to your session.,20,9,316,38
search() is an easy way to find out what packages are loaded and available for use:,19,14,315,67
"Compare 2 R objects using compare(obj1,obj2) in the compare package",16,10,314,61
"A collection of R ""cheet sheets"" (by @Mark_Graph):",108,53,313,214
The function fromJSON() {RJSONIO} converts JSON content to R objects,11,8,312,27
"Send plots to pdf file: run pdf(""myOut.pdf""), produce plots, turn off with dev.off()",22,13,311,60
"Typing ""fix(foo)"" from {utils} package will bring up a template for creating a function named foo.",14,7,310,28
Write professional looking code with Google's R style guide,102,51,309,299
gam() in {mgcv} fits generalized additive models (any quadratically penalized GLM),20,2,308,24
edit(object) {utils} will invoke a text editor for an R object,24,4,307,32
"Learn or teach integration with area() {MASS} e.g. area(sin,0,pi) to integrate sin over [0,pi]",25,10,306,45
"To convert dates/times from one timezone to another, use format() on a POSIXct object. Details:",24,7,305,57
SANTA will help you quantify the association between a gene and a molecular network   #bioconductor,12,10,304,32
"options(repos="" [or your local mirror] in .Rprofile prevents  prompting on package install",9,3,303,35
condest(M) {Matrix} computes the approximate condition number and 1-Norm of large matrices,3,6,302,15
Download and install new packages from the R command line with the install.packages function:,10,7,301,35
body(fun) {base} will print the body of a function e.g. try body(lm),17,10,300,37
"Fit a Bayesian regression model: mod <- MCMCregress(formula,data)",65,18,299,159
"For a comparison of lapply(), Map() and do.call():",51,10,298,99
"Use gl() in {base} to generate factors by a pattern. Eg: gl(2, 8, labels = c(""M"", ""F""))",26,12,297,50
"Select only rows of a data frame without any missing values: df[complete.cases(df),]   (via @ibartomeus)",75,33,296,213
getVignetteInfo() in the {tools} package will provide information on installed vignettes.,10,4,295,18
Customize your R environment with these suggestions for your .Rprofile:,49,17,294,150
"smooth.spline(x,y) in the stats package will fit a cubic smoothing spline to your data.",17,9,293,35
"Use the function factor() to encode a variable as a ""factor"" or categorical variable.",11,12,292,53
"Use cat() to show what your code is doing eg: cat(""iteration = "", iter <- iter + 1, ""\n"")",29,9,291,47
Convert a design matrix (indicator matrix) back into a factor variable:   (via @therealprotonk),8,6,290,40
"Use lsf.str(""package:foo"") to see a list all the functions in package foo:",26,11,289,92
Get a list of the arguments for a function: formals(func),14,7,288,43
How to use the ifelse function to dichotomize a variable [video]:,29,8,287,90
"Use getSymbols() from the quantmod package to fetch ""OHLC"" stock data from multiple sources",12,2,286,16
Write map-reduce tasks for big data in #Hadoop with the rmr package:,24,18,30,88
"Tutorial on lattice graphics, from the National Park Service   (via @zachstednick)",34,15,281,103
Making Publication-Ready Figures in R,78,39,280,179
"Use is.atomic(v) NOT is.vector(v) to test if vector. Try v=9; attr(v,""A"") = ""attr"" See Wickham, Advanced R",23,9,878,41
"Use the transform() function to add a new column to a data frame, using the data from existing columns:",29,10,279,59
"Collecting results in a loop? Pre-allocate a vector res=rep(0,N) and assign res[i]=val. Avoid extending in the loop: res=c(res,val)",56,19,278,132
"Add or modify the main title of a ggplot2 chart: myplot + ggtitle(""title"")",14,8,277,30
Get started analyzing graphs and social networks with the igraph package,34,12,276,58
The mi package is very helpful when dealing with missing values,31,17,275,65
Use the sqldf package to select and merge data frames with SQL.,24,10,274,44
table(x) {base} will build a contingency table,12,8,273,28
Use factor(vector) {base} to work with categorical variables,6,3,272,12
Guidance on how to create a reproducible example in R  (via Wickham: Advanced R),25,18,271,61
Command-line tools for debugging and tracing R code:,26,12,270,107
"The base package foreign contains functions to r/w data from SAS, SPSS and other stats formats",10,8,269,26
coef(model.object) {stats} extracts the model coefficients from a model object,13,8,268,29
"To see the output when running a script file, use source(""myscript.R"", echo=TRUE)",24,11,267,98
args(function) {base} will display the argument names and default values of a function,11,8,266,27
"If x is a list, then x[2] <- NULL removes the second element, whereas x[2] <- list(NULL) replaces it with NULL.",45,28,265,137
methods(generic.function) {utils} lists all methods for a generic function,13,7,264,27
Look at the installr package to obtain package download counts from the RStudio CRAN logs,7,5,263,17
Get a confidence interval for the median of a vector x with wilcox.test(x)    cf(Teetor R CookbooK p206),28,9,262,46
available.packages() {utils} returns details about packages currently available on CRAN,10,7,261,24
Use the RMySQL package to read data from MySQL into R using SQL queries:,26,15,260,117
rotationForest() is a new ensemble classifier available in R,36,13,259,62
Correlated variables? Try principal components regression with the pca() function in the pls package,38,7,258,52
Read an HTML table from a website with readHTMLTable(url)  in the XML package  #stats,32,17,257,66
How to create interactive  charts on the web with RGoogleVis:,42,16,256,74
Spell check a file from R with aspell(file_name),21,9,255,39
"par(mfrow=c(2,2)); plot(lm(y~x)) will produce 4 nice plots of the regression residuals",59,18,890,95
shapiro.test(x) performs the Shapiro-Wilk Normality Test on the vector x.,13,5,254,23
"Look here ( for documentation on ""Model Training and Tuning"" with the caret package.",43,13,253,69
How to create or catch warnings and errors in R code:,24,13,252,104
"Read a .csv file from a website into a data frame: fp <- file.path(""URL"",""filename.csv""); df <- read.csv(fp)",35,15,251,92
Draw a map of the United States: library(maps); map('usa'),25,12,791,49
The function t() {base} will transpose a matrix,9,4,250,17
"as.data.frame(x) {base} to turn lists, matrices, tables and more data structures into data frames",12,5,249,22
"Avoid extrapolating beyond the data, use clip to draw the abline just in the data region   via @ibartomeus",25,9,248,43
The tmaps package lets you display statistical data on geographical maps,78,30,247,138
"boot(data,statistic,R) in the {boot} package will generate R bootstrap replicates of a statistic",32,19,246,70
heatmap.2() {gplots} provides extensions to R's basic heatmap() {stats} with better parameter control,31,12,245,55
Check out the tools in the dplyr package for working with data frames.,31,14,244,59
"Use ggplot2 'Themes' to draw your  charts in the style of publications like ""The Economist"":",61,30,243,156
"In an  function, return the list of arguments supplied in the call with: as.list(match.call())[-1]",18,6,242,43
Type par(no.readonly=TRUE) to get al list of all parameters that can be set in a subsequent call to par(),11,7,241,25
Use read.fwf to read a fixed-format data file (ASCII data without delimiters) into R:,10,8,240,46
Use mode(obj) to determint the storage mode of an object.,6,4,239,14
"Compare t-distribution with qnorm(.975) as df increases qt(.975, df = c(10,100,1000,10000))",21,4,237,29
"To read a fixed width file: data <- read.fwf(""file"", widths=c(w1, w2, w3 . . . wn))",12,6,236,24
Some R help for MatLab users,17,10,235,37
"apropos(""lm"") will find all objects in your search path with ""lm"" in the name",12,5,234,22
Add a vertical or horizontal line to a base graphics plot with abline(v=x) or abline(h=y),16,10,233,36
You can use the readHTMLTable function to scrape data from a Web page:,38,16,232,90
The number of bits in the mantissa of R double precision numbers: .Machine$double.digits (53),6,4,230,14
How to source an R file from GitHub (or any other site via https):,30,11,229,109
"Split x into groups defined by f where f is a factor or list: split(x,f)",34,9,228,52
"To initialize an integer vector of length n: x <- vector(mode = ""integer"", length = n)",18,3,227,24
"pack::fun will show the code for function, fun, in installed package, pack",9,3,225,15
The function typeof(x) {base} determines the internal type or storage mode of an R object.,10,8,224,26
Use pbapply {pbapply} to add progress bars to apply functions.,45,20,223,85
"Use data(package=""foo"") to see a list of data sets included in package foo:",13,11,222,60
agnes{cluster} is a clustering method that measures the amount of clustering structure found.,16,15,221,46
Functions and packages for the analysis of spatio-temporal data:,35,19,220,107
"Test for two vectors being the same: if(identical(x,y)) { ... }. Also works for data frames, lists, etc.",21,6,219,48
"log(x, b) returns the log of x base b.",7,3,218,15
Use the args() function to get a quick reminder of a function's argument names:,12,8,217,72
Connect to the open-source SciDB array database with R's scidb package,6,3,215,12
Work with massive matrices using the bigmemory package,23,11,214,45
The subset() function is a convenient way of selecting rows from a data frame:,17,15,213,50
lowess() {gplot} lets you plot a lowess smoother for your data,10,9,212,28
The mclapply() function in the multicore  package is a parallelized version of lapply,19,6,211,31
Learn the basics for building an R package,40,22,210,84
A collection of free tutorials provided by R users:,73,44,209,284
"Parameter pch in plot(x,y,pch=21) sets the plotting symbol. Look here:  for a list of symbols",11,5,208,21
"Generate a random entry to a 56-ball, 6-draw lottery with R: sample(1:56,6)",7,5,207,17
xts: an R package for handling financial time series.    #finance,18,9,206,42
The function polyroot() {base} finds the zeros of a complex polynomial,14,4,205,22
"Backtick,  ` , lets you get R's special functions into sapply eg sapply(1:5,`+`,3) Hadley Wickham, Advanced R",24,22,204,68
The function dput() {base} writes an ASCII text representation of an R object to a file or connection.,18,4,203,26
The tryCatch function lets an R programmer respond to an error without crashing back to the interpreter:,15,4,202,61
Use the exists() function {base} to see if an R object is defined.,11,7,201,25
Do maximum likelihood estimation directly with the mle() function from the stats4 package.,36,10,200,56
You may find the function dpith() in the KernSmooth package useful for setting histogram bin widths.,11,5,199,21
How to calculate Prob(X > Y) where X and Y are Gamma distributed:,11,4,198,35
Download maps from Google Maps with get_map from the ggmap package,36,25,197,86
"read.table() taking too long, try fread() from the data.table package",33,16,196,65
Making sense of R's error messages when working with data frames (by @slawarokicki):,28,17,195,86
log1p(x) computes log(1 + x). Why is such a function necessary?,19,16,194,100
Go between lower and upper case characters and back again with toupper() and tolower().,6,6,193,18
"setNames(1:3,c(""foo"",""bar"",""baz"") defines vector and assigns names all in one step",25,9,192,43
"To profile R code, install the profr package and use the Rprof {base} function.",9,3,191,15
The corner function in the BurnsMisc package is a convenient way to view a small part of a data frame,7,7,190,30
"For a complete list of functions in a loaded package (eg Rcpp), use library(help=""Rcpp"")",18,5,189,28
Extract the diagonal elements of a square matrix M with diag(M),8,4,188,16
"keep from converting to factors with I() the inhibit function (dd <- cbind(d, char = I(letters[1:10])))",11,3,187,17
Use the integrate function to calculate the area under a curve:,24,8,186,83
Make data cleaning a bit easier with Hadley Wickham's Tidy Data Tools,29,25,185,79
"ggplot2 examples of bar charts, scatterplots, histograms, density plots and more:",55,20,184,165
When reading a file with read.table() or read.csv() use the na.strings argument to identify/set NAs,21,11,183,43
Back up your work frequently by running save.image() from the console,12,8,182,43
"Use ls(pattern=""^is"",baseenv()) to see all ""is"" functions in base package (R. Cotton: Learning R)",15,2,181,37
